boxes,flora_factor,season_f,health_f,yield_kg
35,4.00,0.85,0.45,53.89
39,5.00,0.85,0.75,123.58
36,5.00,1.00,0.75,132.08
26,5.50,1.00,0.75,108.00
1,6.50,0.85,0.45,1.94
24,4.00,0.70,0.45,32.50
32,4.00,0.70,0.75,65.41
28,4.00,0.85,0.45,44.38
29,5.00,1.00,0.45,69.35
26,7.00,0.70,0.45,58.01
28,4.00,0.85,0.75,73.36
16,6.50,0.85,0.45,41.21
30,6.50,0.85,0.75,129.06
14,4.00,0.70,0.45,18.57
25,4.00,1.00,0.45,46.75
21,5.00,1.00,0.75,78.66
35,4.00,1.00,0.45,61.06
44,7.00,0.70,0.45,94.00
32,5.50,1.00,0.45,82.37
7,7.00,1.00,0.45,19.53
33,7.00,0.85,0.45,90.22
16,7.00,0.70,0.45,36.32
3,5.50,0.85,0.75,12.81
10,4.00,0.70,0.75,19.71
49,5.50,0.70,0.75,139.51
21,6.50,0.85,0.45,53.16
10,6.50,0.85,0.45,24.13
7,7.00,0.85,0.45,15.66
32,6.50,0.70,0.45,70.37
38,5.00,1.00,0.45,83.52
18,4.00,0.70,0.45,20.20
6,4.00,0.85,0.45,8.57
18,4.00,0.70,0.75,40.93
33,5.00,0.85,0.75,99.77
6,7.00,0.70,0.75,24.97
14,5.00,1.00,0.45,29.22
1,6.50,1.00,0.45,3.59
24,4.00,1.00,0.45,41.51
9,6.50,0.70,0.45,23.41
10,5.50,0.70,0.45,17.64
6,5.00,0.70,0.45,7.68
36,6.50,1.00,0.75,174.75
24,5.50,1.00,0.45,59.62
47,7.00,0.85,0.75,210.18
20,5.00,0.70,0.45,32.60
11,4.00,1.00,0.45,19.80
11,5.50,0.85,0.45,19.70
47,7.00,0.85,0.45,124.99
29,4.00,0.85,0.45,45.89
16,6.50,0.85,0.45,38.11
33,5.50,0.85,0.45,71.11
28,5.50,0.70,0.45,48.59
6,4.00,1.00,0.45,10.26
35,6.50,0.85,0.45,90.00
6,5.50,1.00,0.45,10.50
10,7.00,1.00,0.75,50.81
35,6.50,0.85,1.00,196.46
22,5.00,0.85,0.45,46.65
11,7.00,1.00,0.45,40.36
4,6.50,1.00,0.45,11.83
30,6.50,0.70,0.45,62.57
35,5.50,0.70,0.45,62.68
10,5.00,0.70,0.45,18.94
21,7.00,1.00,0.45,66.93
17,4.00,1.00,0.45,32.92
44,7.00,1.00,0.45,139.75
39,6.50,1.00,0.45,115.38
14,5.50,0.85,0.45,27.16
26,5.00,0.85,0.45,48.90
46,5.50,1.00,0.75,188.44
17,6.50,0.85,0.45,39.29
7,5.00,0.85,0.45,9.26
15,4.00,1.00,0.75,43.94
30,4.00,0.85,0.45,45.24
49,5.00,0.85,0.45,93.98
16,6.50,0.70,0.45,34.15
3,5.50,1.00,0.45,7.90
9,5.50,1.00,0.75,36.48
21,7.00,0.70,0.45,44.02
5,6.50,0.85,0.45,14.62
2,7.00,0.85,0.75,8.67
33,5.00,0.70,0.45,50.89
41,5.00,0.70,0.45,64.11
12,6.50,1.00,0.45,33.27
26,5.50,0.70,0.75,73.75
29,4.00,0.85,0.45,42.96
33,4.00,0.85,0.75,83.43
48,4.00,0.70,0.45,62.12
44,5.00,1.00,0.45,100.02
16,4.00,0.70,0.45,24.03
48,4.00,0.85,0.45,76.47
2,4.00,0.70,0.45,7.41
48,5.00,0.85,0.75,154.40
7,7.00,0.70,0.45,16.79
6,4.00,0.85,0.45,7.96
6,5.00,0.85,0.75,21.19
6,5.50,0.85,0.75,19.40
23,4.00,0.70,0.75,44.62
32,5.50,0.70,0.75,96.22
37,6.50,1.00,0.45,105.10
1,7.00,0.70,0.45,3.30
15,5.00,0.85,0.45,26.49
7,5.00,1.00,0.45,18.57
8,5.00,0.70,0.45,15.76
37,4.00,1.00,1.00,149.32
32,5.00,0.70,0.45,53.52
11,5.50,0.85,0.45,23.16
15,4.00,0.70,0.45,24.49
46,6.50,0.85,0.75,192.48
29,7.00,1.00,0.45,89.10
12,4.00,0.70,0.75,25.37
46,4.00,0.70,0.75,96.22
10,6.50,1.00,0.45,28.62
15,5.00,1.00,0.45,29.61
34,5.50,0.70,0.45,59.87
26,4.00,0.70,1.00,69.34
4,4.00,1.00,0.75,5.69
40,5.00,0.70,0.45,62.14
12,5.00,1.00,0.45,25.11
34,4.00,1.00,1.00,133.85
17,7.00,0.85,0.75,68.10
37,5.00,0.70,0.75,95.00
45,6.50,0.70,0.45,91.70
38,5.00,0.85,1.00,159.91
46,4.00,1.00,0.75,138.97
27,4.00,0.85,0.45,44.79
4,4.00,0.70,0.75,9.69
27,5.50,0.70,0.45,49.34
23,5.00,1.00,0.45,54.52
36,5.00,0.85,0.45,66.30
13,6.50,0.85,0.45,33.42
35,4.00,0.85,0.45,56.04
22,7.00,1.00,0.45,68.21
33,6.50,1.00,0.45,94.55
21,7.00,0.85,0.45,57.55
19,4.00,1.00,0.45,30.50
11,4.00,0.85,0.45,14.11
41,7.00,1.00,0.45,127.48
4,5.00,0.70,0.45,7.43
12,4.00,1.00,0.45,22.15
21,6.50,0.85,0.45,54.79
8,6.50,0.85,0.45,17.59
45,5.50,0.85,0.45,92.23
17,5.50,0.85,0.45,37.07
12,6.50,0.85,0.45,27.84
13,4.00,0.70,0.75,25.79
10,7.00,0.70,1.00,44.36
33,5.00,1.00,0.45,74.98
24,5.50,0.70,0.75,73.15
12,7.00,0.85,0.45,29.56
43,5.00,1.00,0.45,99.30
33,5.50,0.70,1.00,126.90
20,6.50,0.70,0.45,36.54
26,5.00,1.00,0.45,56.26
33,4.00,1.00,0.45,57.01
8,7.00,0.85,1.00,46.81
40,5.00,0.70,0.45,64.05
13,4.00,1.00,0.45,28.02
2,4.00,0.85,0.45,0.00
26,7.00,0.85,0.45,68.40
43,5.50,0.70,0.45,72.26
36,5.00,0.70,0.75,91.33
16,5.00,0.70,0.45,25.44
20,7.00,1.00,0.45,63.00
30,4.00,0.70,0.45,33.27
12,4.00,0.85,0.75,30.65
41,7.00,0.85,0.45,106.76
15,6.50,0.70,0.45,30.74
11,4.00,0.70,0.75,26.27
5,5.00,1.00,0.75,19.91
34,4.00,1.00,0.45,61.64
2,7.00,0.70,0.45,3.09
40,7.00,0.70,0.45,88.37
48,7.00,0.85,0.75,215.61
6,4.00,1.00,0.45,11.96
5,5.50,1.00,0.45,12.13
46,5.00,0.70,0.45,72.99
7,5.50,0.70,0.45,8.84
20,5.50,0.70,0.75,55.91
43,6.50,0.85,0.45,108.68
7,7.00,0.85,0.45,20.85
33,7.00,1.00,0.75,173.48
19,7.00,0.70,0.45,45.59
22,4.00,0.70,0.45,28.99
46,4.00,1.00,0.45,82.22
32,5.50,0.85,1.00,146.55
16,7.00,0.85,0.45,46.44
46,7.00,0.70,0.45,103.36
29,5.00,0.70,0.45,50.17
5,6.50,1.00,0.45,20.04
20,5.00,0.70,0.45,28.28
12,6.50,1.00,0.45,31.89
32,7.00,0.70,0.45,63.40
43,7.00,0.70,0.45,97.11
2,5.00,1.00,0.45,6.14
39,5.50,0.70,0.75,112.86
45,4.00,1.00,1.00,176.93
49,5.50,1.00,0.45,121.05
33,7.00,1.00,0.45,104.41
16,6.50,0.70,0.45,34.72
8,5.00,0.70,0.45,13.28
47,5.00,0.85,0.75,151.47
21,5.00,0.70,0.45,32.76
17,5.50,0.85,0.45,38.72
36,4.00,0.85,0.45,56.66
36,7.00,0.70,0.45,76.41
40,5.50,0.85,0.45,87.62
44,6.50,0.85,0.75,185.39
43,7.00,1.00,0.45,136.61
9,6.50,0.85,0.45,23.08
9,6.50,0.70,1.00,45.10
11,7.00,0.70,1.00,49.82
31,5.50,1.00,0.45,79.83
29,7.00,0.85,0.45,76.46
43,5.50,0.85,0.45,93.20
42,6.50,0.70,0.45,86.30
40,7.00,0.70,0.45,85.09
4,5.50,0.70,0.45,5.69
35,5.00,0.70,0.45,57.68
42,5.50,0.85,0.75,146.74
49,7.00,0.85,0.75,217.11
17,6.50,0.85,0.45,40.70
39,7.00,0.85,0.45,106.03
20,4.00,0.70,1.00,60.38
8,7.00,0.70,0.45,12.29
17,6.50,0.70,0.45,41.81
13,5.50,0.85,0.75,46.09
45,7.00,1.00,0.45,143.20
9,6.50,1.00,0.75,42.78
7,6.50,1.00,0.45,20.47
29,6.50,0.85,0.75,120.65
29,5.50,0.85,0.45,58.39
28,7.00,0.85,0.45,72.96
8,4.00,0.70,0.45,13.04
25,6.50,0.85,0.45,58.28
46,5.00,0.70,0.45,73.55
5,4.00,0.85,0.45,6.72
40,5.50,0.70,0.75,113.10
7,5.50,1.00,0.45,22.25
12,5.50,1.00,0.45,27.31
45,5.00,0.70,0.75,115.30
15,6.50,0.70,0.45,30.25
26,7.00,0.85,0.45,67.69
19,4.00,1.00,0.75,57.02
31,4.00,1.00,0.45,56.19
20,6.50,0.85,0.45,50.31
22,7.00,0.70,0.45,48.20
41,6.50,0.85,0.45,100.18
28,5.00,0.70,1.00,99.61
28,6.50,0.85,0.45,69.34
40,5.50,1.00,0.45,97.76
21,5.00,0.85,0.45,43.86
41,6.50,0.85,0.75,169.59
36,5.00,1.00,0.75,137.73
44,5.00,0.70,0.75,118.57
23,7.00,1.00,0.45,75.67
28,5.00,0.70,0.45,45.83
7,7.00,0.70,0.75,25.72
6,4.00,0.70,0.75,12.44
6,7.00,1.00,0.45,18.29
32,4.00,0.70,0.45,34.90
16,5.00,0.85,0.75,52.80
15,5.50,0.70,1.00,58.36
30,5.00,1.00,0.75,114.56
20,7.00,0.70,0.45,43.81
7,5.00,1.00,0.45,17.41
28,5.50,0.70,0.75,77.41
27,5.50,1.00,0.45,63.90
7,5.50,0.70,0.45,5.94
14,5.00,0.70,0.45,21.71
12,5.00,0.85,0.45,21.02
35,7.00,0.85,1.00,205.99
13,5.50,1.00,0.75,54.46
2,6.50,1.00,0.45,4.79
14,7.00,0.70,0.45,27.29
23,5.50,0.70,0.45,46.21
38,7.00,0.70,0.45,83.70
3,5.00,1.00,1.00,12.29
44,5.00,1.00,0.45,97.33
17,6.50,0.70,0.45,34.37
17,6.50,0.85,0.45,41.83
1,5.50,1.00,0.45,5.73
14,5.00,1.00,0.45,31.30
23,4.00,0.70,0.45,33.62
31,5.00,0.70,0.75,80.29
38,6.50,1.00,0.75,186.32
26,5.00,0.70,0.45,43.50
5,5.00,0.85,0.45,12.55
20,5.00,0.70,0.45,34.78
37,5.50,0.85,0.45,77.16
32,6.50,0.70,0.45,65.51
29,7.00,0.85,0.45,71.45
25,6.50,0.70,1.00,113.26
25,4.00,0.70,0.45,34.23
49,5.00,0.85,0.75,158.43
30,5.50,1.00,0.75,123.53
30,6.50,1.00,0.45,92.00
17,7.00,0.85,0.45,44.56
25,7.00,0.85,0.75,109.77
35,6.50,0.70,0.45,70.49
43,6.50,1.00,0.75,206.82
39,5.00,0.70,0.45,62.98
33,5.00,1.00,0.45,74.97
39,4.00,0.85,0.45,61.19
2,5.00,0.85,0.45,2.79
14,7.00,0.85,0.75,62.33
12,5.50,1.00,0.75,44.05
33,6.50,0.70,0.45,68.51
37,7.00,1.00,0.45,116.80
8,5.50,0.70,0.45,11.11
10,7.00,0.85,0.45,26.51
25,5.00,0.70,0.45,38.73
48,5.00,0.70,0.45,80.01
1,7.00,0.70,0.45,0.00
44,5.00,0.85,0.45,84.98
10,5.00,0.85,0.45,16.40
14,6.50,0.85,0.75,56.62
31,7.00,0.85,0.45,83.69
36,5.00,0.70,0.45,56.17
43,4.00,0.85,0.45,65.78
1,7.00,0.85,0.75,5.29
3,5.00,1.00,0.45,5.52
24,7.00,1.00,0.45,77.81
28,4.00,0.70,0.45,34.52
13,5.00,0.70,0.45,20.23
32,7.00,0.85,0.45,86.58
13,4.00,0.85,0.75,33.72
46,5.00,1.00,0.45,105.11
9,7.00,1.00,0.45,29.14
33,7.00,0.70,0.45,73.94
26,5.00,0.85,0.45,48.91
6,4.00,1.00,0.75,15.33
30,4.00,1.00,0.45,50.43
8,6.50,1.00,0.45,19.22
27,7.00,0.70,0.45,63.94
32,6.50,0.85,0.45,74.03
4,6.50,1.00,0.45,14.68
11,4.00,0.70,0.75,21.05
15,5.00,0.70,0.45,26.59
46,4.00,0.85,0.45,64.87
11,6.50,1.00,0.45,31.59
46,5.00,1.00,0.75,176.14
27,4.00,0.70,0.45,35.80
47,7.00,0.85,1.00,278.81
41,5.00,0.85,1.00,169.39
15,5.50,1.00,0.45,33.82
28,6.50,0.70,0.75,99.02
36,4.00,0.70,1.00,99.93
4,7.00,0.85,1.00,23.62
33,7.00,1.00,0.45,104.66
23,5.50,0.85,0.75,77.39
2,7.00,0.70,0.45,5.43
43,5.00,0.85,0.45,81.19
14,7.00,1.00,1.00,98.73
43,7.00,1.00,0.45,134.00
11,6.50,1.00,0.45,28.24
27,7.00,0.85,0.45,71.22
19,5.50,0.85,0.45,41.57
44,7.00,0.85,0.45,118.80
47,6.50,0.70,0.45,96.31
38,6.50,1.00,0.45,113.40
42,5.50,0.70,0.75,120.77
38,5.50,1.00,0.45,94.19
15,5.00,0.85,0.45,27.49
46,4.00,1.00,0.45,85.19
26,5.50,0.85,1.00,122.28
17,5.00,0.70,0.45,25.38
10,5.50,1.00,0.45,21.03
35,4.00,0.85,0.45,56.31
14,5.50,0.85,0.45,27.59
32,7.00,0.85,0.45,85.86
4,5.00,0.85,0.45,13.53
32,4.00,0.85,0.45,50.96
32,5.50,0.70,0.45,59.47
26,4.00,1.00,0.45,45.45
33,4.00,0.85,0.45,53.17
49,7.00,0.85,0.45,131.26
42,7.00,0.70,0.75,155.27
22,4.00,0.70,0.45,32.77
43,5.00,0.70,0.45,67.03
47,7.00,1.00,0.45,148.10
8,7.00,1.00,0.45,22.94
18,5.00,0.85,0.75,59.60
37,6.50,0.85,0.45,90.59
26,4.00,1.00,0.45,49.36
7,4.00,0.70,0.45,4.70
24,5.50,0.70,0.45,42.95
19,5.00,0.85,0.75,58.95
37,5.50,0.70,0.45,65.93
26,4.00,0.85,0.45,39.75
7,5.50,0.85,0.45,13.39
3,6.50,0.70,0.45,5.18
15,5.50,1.00,0.45,35.00
8,5.50,1.00,0.45,21.89
43,5.00,0.85,0.45,79.62
14,7.00,0.70,0.75,50.78
32,5.00,0.85,0.45,62.06
7,7.00,0.85,0.75,35.27
22,5.50,1.00,0.75,90.73
46,5.50,0.85,0.45,96.17
32,7.00,1.00,0.45,101.48
15,5.00,1.00,0.75,51.07
37,4.00,0.70,0.45,43.62
25,6.50,0.85,0.45,61.22
12,4.00,1.00,0.45,19.82
49,6.50,1.00,0.45,139.32
46,5.50,0.85,0.75,163.43
28,4.00,1.00,0.75,84.65
2,5.50,0.85,0.45,4.56
21,6.50,0.85,0.75,85.28
26,4.00,0.70,0.45,32.96
46,7.00,0.85,0.45,124.45
36,4.00,1.00,0.45,64.14
11,7.00,0.85,0.45,30.56
25,6.50,0.85,0.45,60.17
9,7.00,1.00,0.45,28.59
24,5.00,1.00,0.45,56.86
27,4.00,1.00,0.75,84.08
25,5.00,0.70,0.45,42.69
21,7.00,1.00,0.45,66.86
22,5.50,0.70,0.45,38.19
40,5.00,0.85,0.45,75.38
25,5.00,0.70,0.45,34.86
3,5.50,1.00,0.45,4.06
37,5.00,0.85,0.45,70.34
31,5.00,1.00,0.45,69.48
35,5.50,0.70,0.45,64.17
35,6.50,0.85,0.75,148.32
9,6.50,1.00,0.45,24.61
48,6.50,0.70,0.45,100.33
49,7.00,0.70,0.45,106.85
8,5.00,0.70,0.75,22.71
11,7.00,0.70,0.45,26.27
13,5.00,1.00,0.45,32.36
48,6.50,0.85,0.75,197.67
46,4.00,0.70,0.45,60.50
13,4.00,0.85,0.45,15.21
31,6.50,0.85,0.45,80.31
12,4.00,0.70,1.00,33.54
2,5.50,0.85,0.45,4.20
12,5.50,1.00,0.75,44.41
4,5.00,1.00,0.45,8.03
42,5.00,0.70,0.45,69.54
39,6.50,1.00,0.45,113.01
10,5.00,0.85,0.45,20.91
28,5.50,0.85,0.45,58.99
11,4.00,0.85,0.45,19.49
28,6.50,1.00,0.45,82.38
44,4.00,1.00,0.75,129.67
44,5.50,0.70,0.45,76.37
41,4.00,1.00,0.45,77.80
12,6.50,1.00,0.45,36.34
10,5.50,0.70,0.45,17.03
8,6.50,1.00,0.45,29.04
7,4.00,0.85,0.45,13.61
31,4.00,1.00,0.45,57.84
33,7.00,0.70,0.45,73.56
44,4.00,1.00,0.75,133.83
5,5.00,0.85,0.45,11.47
13,7.00,0.85,0.75,52.56
36,5.00,0.70,0.45,57.69
34,5.50,1.00,0.45,83.75
21,7.00,0.85,0.45,54.98
8,4.00,0.85,0.45,11.75
24,5.50,1.00,0.45,55.51
9,5.50,1.00,0.45,17.76
27,5.00,0.70,0.45,45.64
45,5.00,0.85,0.45,87.22
10,5.00,0.85,0.45,13.09
6,6.50,0.70,0.45,10.84
37,6.50,0.85,0.45,94.19
2,5.50,0.70,0.75,5.07
49,7.00,0.70,0.45,111.16
38,5.50,0.85,0.75,135.86
20,5.00,1.00,0.45,41.61
18,6.50,0.85,0.45,44.39
19,4.00,1.00,0.45,33.08
20,5.00,0.70,0.75,49.03
42,6.50,1.00,0.75,201.11
40,4.00,0.70,0.45,48.38
11,5.50,0.85,0.45,21.54
9,5.00,0.85,0.45,17.92
27,4.00,1.00,0.45,51.21
32,7.00,1.00,0.45,102.08
36,4.00,0.70,0.45,47.24
16,5.00,0.70,1.00,55.33
24,4.00,1.00,0.45,44.71
6,7.00,1.00,0.75,31.13
23,5.50,1.00,0.45,55.82
34,4.00,0.70,0.75,76.14
15,6.50,0.85,0.45,31.47
16,6.50,1.00,0.75,73.32
23,7.00,1.00,0.45,73.41
43,5.00,1.00,0.45,96.09
30,6.50,0.70,0.45,57.83
46,6.50,0.70,0.45,91.55
4,4.00,0.85,0.45,3.81
42,6.50,0.70,0.45,88.23
3,6.50,1.00,0.45,11.81
16,5.50,0.85,0.45,37.76
21,6.50,1.00,0.75,98.40
12,5.50,0.70,0.45,17.37
49,5.00,0.85,1.00,204.66
44,7.00,0.70,0.45,100.24
28,5.50,0.85,0.75,99.22
23,4.00,0.85,0.75,58.85
38,6.50,0.70,0.45,78.38
35,5.50,0.70,0.45,60.50
24,6.50,0.85,0.45,56.87
41,5.50,0.85,0.75,145.04
10,6.50,0.85,0.45,24.40
14,5.50,1.00,0.45,31.65
1,7.00,0.85,0.75,5.90
6,6.50,0.70,0.45,11.22
10,5.00,0.70,0.45,16.32
31,4.00,0.85,0.45,47.12
42,5.00,0.85,0.75,136.10
29,7.00,0.70,0.75,107.13
22,6.50,1.00,0.45,62.14
14,5.00,1.00,0.75,53.31
5,6.50,1.00,0.45,15.51
29,5.00,1.00,0.45,66.53
7,5.50,0.70,0.75,22.80
39,5.00,1.00,0.75,144.71
21,6.50,1.00,0.45,63.09
18,6.50,0.85,0.75,70.28
2,7.00,0.85,1.00,11.60
12,5.00,0.70,0.45,18.21
1,4.00,0.70,0.45,4.88
36,7.00,0.85,0.45,96.00
25,6.50,1.00,0.45,74.64
39,7.00,1.00,0.45,118.45
28,6.50,0.70,0.45,56.45
47,6.50,0.85,0.45,114.74
39,5.50,0.70,0.45,73.76
8,4.00,0.85,0.75,18.73
6,4.00,0.70,0.45,7.74
44,5.50,0.85,1.00,206.02
14,5.50,0.70,1.00,49.93
38,6.50,0.85,0.75,156.15
31,6.50,1.00,0.45,91.69
35,6.50,1.00,0.45,102.59
14,5.50,1.00,0.45,28.90
16,6.50,0.85,0.75,64.88
28,7.00,0.70,0.45,64.29
2,5.00,0.85,0.45,5.30
16,5.00,0.70,0.45,28.25
25,7.00,1.00,0.75,128.79
11,5.00,0.85,0.45,24.24
15,4.00,0.85,0.45,22.84
49,4.00,1.00,0.45,92.18
15,5.50,0.85,0.75,52.60
45,5.00,0.85,0.75,138.32
46,4.00,0.85,0.45,72.50
34,5.50,0.85,0.75,118.10
8,5.50,1.00,0.45,18.86
11,6.50,0.70,0.45,18.89
46,7.00,1.00,0.45,148.96
1,7.00,0.70,0.45,0.90
25,4.00,0.70,0.45,35.44
30,5.00,1.00,0.45,66.42
42,6.50,1.00,1.00,270.68
44,6.50,0.85,0.45,112.69
14,5.00,0.70,0.45,21.87
25,4.00,0.85,0.45,38.09
32,5.50,0.85,0.75,109.00
48,7.00,0.70,0.75,175.26
28,7.00,0.85,0.45,76.04
6,6.50,0.70,0.45,9.04
46,6.50,0.70,0.45,92.84
26,6.50,1.00,0.45,75.00
9,6.50,0.85,0.45,22.54
10,7.00,1.00,0.45,35.20
11,5.50,1.00,0.45,26.48
36,7.00,1.00,0.45,111.67
47,7.00,1.00,0.45,154.92
22,4.00,1.00,0.45,38.52
5,6.50,0.70,0.75,16.59
44,5.50,0.85,0.45,91.67
32,5.00,0.85,0.45,60.51
28,6.50,0.70,0.75,95.74
3,5.00,0.70,0.45,7.03
48,4.00,0.85,0.45,74.45
4,7.00,0.85,0.75,20.54
30,5.00,0.85,0.45,59.99
30,6.50,0.85,0.45,75.11
26,6.50,0.85,0.45,65.58
28,5.50,1.00,0.45,72.07
20,5.50,1.00,0.45,46.72
29,6.50,1.00,1.00,194.75
18,4.00,0.85,0.45,26.26
24,6.50,0.70,0.45,48.26
34,5.50,0.85,0.45,68.50
37,6.50,1.00,0.45,105.27
8,6.50,0.85,0.45,22.33
49,7.00,0.70,0.75,185.75
5,6.50,0.85,0.45,11.01
14,6.50,1.00,0.75,69.12
17,6.50,1.00,0.45,50.28
16,5.50,0.85,0.45,36.16
18,6.50,0.70,0.45,42.40
16,5.00,1.00,0.75,63.80
22,6.50,0.70,0.45,44.45
38,7.00,0.70,0.45,85.11
41,5.50,1.00,0.45,103.05
18,5.50,1.00,0.45,44.50
13,7.00,1.00,0.45,38.21
34,7.00,0.85,0.45,89.04
3,6.50,1.00,1.00,22.37
22,5.00,0.70,0.75,60.88
11,6.50,1.00,0.45,31.66
30,7.00,0.85,0.45,80.98
4,6.50,0.70,0.45,11.18
41,5.00,1.00,0.45,87.99
14,4.00,1.00,1.00,54.88
26,4.00,0.70,0.45,37.80
29,6.50,1.00,0.45,85.57
24,7.00,0.85,0.75,104.28
22,7.00,1.00,0.45,69.59
14,5.50,1.00,0.45,37.20
38,7.00,0.85,0.45,95.38
26,4.00,0.85,1.00,88.84
11,5.50,0.85,0.75,37.64
13,5.50,0.70,0.45,18.42
22,5.50,1.00,0.75,90.95
42,6.50,0.85,0.75,173.70
48,5.00,1.00,0.75,179.94
20,5.50,0.70,0.45,33.78
20,4.00,0.85,0.75,48.45
7,7.00,0.70,0.45,11.80
27,5.50,1.00,1.00,146.77
12,5.50,0.85,0.45,27.39
41,6.50,1.00,0.45,120.51
27,5.50,1.00,0.45,66.65
11,5.50,0.70,1.00,39.75
45,5.50,0.70,0.45,77.03
40,5.00,1.00,0.45,91.84
15,7.00,0.85,0.45,41.42
6,5.50,0.70,0.45,9.20
13,5.00,1.00,1.00,58.47
19,5.00,0.70,0.45,28.24
20,5.00,1.00,0.45,43.79
41,5.00,0.85,0.75,128.42
48,7.00,0.70,0.75,175.37
37,5.50,0.70,0.45,66.14
42,4.00,1.00,0.45,75.51
7,5.00,1.00,1.00,37.47
8,5.50,1.00,0.45,16.03
45,6.50,0.85,0.45,111.12
31,5.00,1.00,0.45,64.90
12,7.00,0.70,0.45,25.39
39,5.50,1.00,0.45,93.91
9,5.00,0.85,0.45,20.42
38,6.50,0.70,0.45,78.83
44,7.00,0.85,0.75,198.89
24,5.50,0.85,0.45,49.42
33,6.50,1.00,0.45,93.98
36,5.50,0.70,0.75,101.32
44,7.00,0.70,0.75,162.36
29,6.50,0.70,0.75,103.49
15,6.50,1.00,0.45,44.91
10,7.00,0.85,0.45,25.84
18,4.00,0.70,0.45,22.21
3,5.00,0.70,0.45,4.65
35,5.00,0.85,0.45,72.00
19,5.50,0.70,0.45,36.00
35,5.50,1.00,0.45,87.27
4,5.50,0.70,0.45,7.20
16,4.00,0.85,0.45,25.23
20,5.00,0.70,0.45,32.74
5,5.00,0.85,0.75,14.90
41,4.00,0.85,0.45,60.62
30,5.00,0.70,0.45,49.83
42,6.50,0.70,0.45,86.05
40,5.50,0.70,0.45,71.67
2,4.00,1.00,0.75,10.12
43,5.50,0.85,0.45,91.76
4,5.50,0.70,0.45,7.83
43,4.00,0.70,0.45,62.18
33,5.00,0.85,0.45,63.63
41,6.50,0.70,0.75,137.19
25,5.50,0.85,0.45,51.89
8,7.00,1.00,0.45,29.08
8,5.50,0.70,0.45,10.62
6,5.00,0.85,0.45,9.59
40,5.50,0.85,0.45,86.92
27,5.50,1.00,0.75,110.70
11,6.50,1.00,0.75,53.35
7,4.00,0.85,0.45,13.39
4,5.00,0.70,0.45,4.51
13,4.00,1.00,0.45,19.73
37,5.50,0.70,0.45,60.63
44,5.00,0.70,0.75,116.95
30,7.00,0.85,0.45,80.97
49,5.00,0.70,0.75,126.89
20,5.50,0.70,0.45,31.75
17,7.00,0.70,0.45,36.81
34,5.00,0.70,0.45,56.34
7,6.50,0.70,0.45,12.24
45,4.00,0.70,0.75,92.84
39,4.00,1.00,0.75,114.02
2,5.50,0.85,0.45,3.29
10,5.50,0.70,0.45,18.17
31,5.50,0.85,0.45,70.50
37,7.00,1.00,1.00,259.54
11,5.00,0.70,0.45,17.19
37,4.00,0.85,0.45,58.77
24,7.00,0.70,0.45,54.66
34,5.00,1.00,0.45,75.06
21,4.00,1.00,0.45,43.56
23,4.00,0.85,0.45,35.13
20,6.50,1.00,0.45,59.09
8,5.50,0.85,0.75,29.43
10,5.00,0.85,0.45,19.99
9,5.50,1.00,0.45,26.09
40,5.00,0.70,0.45,61.53
21,7.00,1.00,0.45,68.11
19,5.00,0.70,1.00,66.91
42,7.00,1.00,0.45,134.76
44,5.00,0.85,0.75,139.71
12,7.00,0.70,0.75,43.22
18,6.50,1.00,0.45,54.48
21,4.00,0.70,0.45,27.35
42,5.00,1.00,0.45,92.45
33,5.00,0.70,0.45,55.34
27,6.50,0.70,0.45,57.11
12,5.00,1.00,0.45,26.81
19,6.50,0.85,0.45,46.07
2,5.50,0.70,1.00,8.61
35,7.00,1.00,0.45,111.90
46,5.00,1.00,0.45,99.51
39,7.00,1.00,0.45,123.79
16,5.50,0.85,0.75,57.73
24,5.00,0.70,0.45,31.92
47,5.00,0.85,0.75,150.30
21,4.00,0.85,0.75,55.29
42,5.50,0.70,0.45,74.22
29,5.50,1.00,0.75,121.63
25,6.50,0.70,0.45,50.37
29,5.50,1.00,0.45,69.18
11,7.00,1.00,1.00,72.50
21,5.50,0.70,1.00,83.58
15,5.50,0.85,0.45,33.31
38,5.50,0.85,0.45,82.86
31,5.00,1.00,0.45,67.94
20,7.00,0.85,0.45,55.56
41,4.00,0.70,0.45,47.90
23,5.50,1.00,0.45,54.75
47,5.00,1.00,0.45,106.06
30,6.50,1.00,0.45,89.41
44,6.50,0.85,0.45,113.59
49,7.00,0.70,0.45,107.44
17,7.00,1.00,0.75,87.09
13,5.50,0.70,0.45,20.23
41,7.00,0.70,0.75,148.96
12,7.00,0.85,1.00,76.95
37,6.50,0.70,0.75,128.15
9,6.50,0.70,0.45,21.21
43,5.50,0.70,0.75,123.57
34,5.00,0.85,0.45,65.02
26,7.00,1.00,0.45,83.65
23,5.00,0.70,0.45,34.96
32,6.50,0.85,0.45,78.83
20,5.00,1.00,0.45,43.31
20,5.00,0.70,0.45,30.38
11,5.50,0.85,0.75,38.69
8,7.00,0.70,0.45,15.59
44,7.00,0.70,0.45,97.73
37,4.00,1.00,0.45,67.31
22,5.00,0.70,0.75,57.30
41,5.00,0.70,0.75,105.56
30,7.00,0.70,0.45,66.41
30,5.50,1.00,0.45,72.99
6,5.00,0.70,0.45,9.57
27,5.00,0.70,0.45,45.27
6,6.50,0.70,0.75,17.34
